"","neighbourhood_group","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","reviews_per_month","calculated_host_listings_count","availability_365","sentiment_score","new_factor"
"28921","Staten Island",40.5949,-74.07084,"Entire home/apt",199,1,1,1,1,81,0,"Entire home/apt:Staten Island"
"28922","Brooklyn",40.63704,-73.96693,"Entire home/apt",130,3,2,2,1,33,-0.265361388801511,"Entire home/apt:Brooklyn"
"28923","Manhattan",40.7319,-73.98981,"Private room",150,3,1,1,1,209,0.381837661840736,"Private room:Manhattan"
"28924","Brooklyn",40.68019,-73.98408,"Private room",160,1,1,1,8,364,0.116666666666667,"Private room:Brooklyn"
"28925","Manhattan",40.83901,-73.93943,"Private room",61,1,1,1,1,268,0.226778683805536,"Private room:Manhattan"
"28926","Brooklyn",40.69414,-73.94073,"Private room",70,3,1,1,1,65,0,"Private room:Brooklyn"
"28927","Queens",40.74175,-73.91409,"Private room",50,1,4,4,1,82,-0.163299316185545,"Private room:Queens"
"28928","Brooklyn",40.6811,-73.95823,"Entire home/apt",125,2,1,1,2,342,0.734846922834954,"Entire home/apt:Brooklyn"
"28929","Queens",40.67207,-73.78094,"Private room",60,1,2,2,4,79,0.406586399182265,"Private room:Queens"
"28930","Brooklyn",40.68477,-73.9509,"Private room",40,2,1,1,1,1,0.680336051416609,"Private room:Brooklyn"
"28931","Queens",40.76215,-73.91973,"Shared room",110,1,1,1,1,21,0,"Shared room:Queens"
"28932","Brooklyn",40.64567,-73.89091,"Private room",45,1,7,7,1,68,1.16275534829989,"Private room:Brooklyn"
"28933","Brooklyn",40.70534,-73.92357,"Private room",65,1,1,1,1,188,0,"Private room:Brooklyn"
"28934","Brooklyn",40.58624,-73.9448,"Private room",50,1,5,5,3,85,0.5,"Private room:Brooklyn"
"28935","Brooklyn",40.71115,-73.94371,"Entire home/apt",210,3,1,1,1,254,0.632784850218988,"Entire home/apt:Brooklyn"
"28936","Manhattan",40.74942,-73.9817,"Entire home/apt",95,1,7,7,1,54,0.223606797749979,"Entire home/apt:Manhattan"
"28937","Manhattan",40.75895,-73.99509,"Private room",189,4,1,1,1,8,0,"Private room:Manhattan"
"28938","Manhattan",40.72555,-73.98198,"Entire home/apt",145,1,3,3,1,84,-0.707106781186547,"Entire home/apt:Manhattan"
"28939","Manhattan",40.7624,-73.9693,"Entire home/apt",299,30,2,2,1,248,0.353553390593274,"Entire home/apt:Manhattan"
"28940","Brooklyn",40.69069,-73.9298,"Entire home/apt",399,3,3,3,1,235,0.188982236504614,"Entire home/apt:Brooklyn"
"28941","Brooklyn",40.69185,-73.91073,"Entire home/apt",150,3,1,1,2,21,0.77567175188134,"Entire home/apt:Brooklyn"
"28942","Queens",40.76067,-73.9198,"Entire home/apt",225,2,2,2,1,277,0.223606797749979,"Entire home/apt:Queens"
"28943","Manhattan",40.76171,-73.98728,"Entire home/apt",177,2,1,1,1,125,0.204124145231932,"Entire home/apt:Manhattan"
"28944","Brooklyn",40.60467,-73.94243,"Entire home/apt",139,1,5,5,1,162,0.353553390593274,"Entire home/apt:Brooklyn"
"28945","Brooklyn",40.71693,-73.94267,"Entire home/apt",295,2,1,1,3,354,0.166666666666667,"Entire home/apt:Brooklyn"
"28946","Brooklyn",40.69221,-73.95168,"Entire home/apt",116,2,4,4,2,156,0.766666666666667,"Entire home/apt:Brooklyn"
"28947","Manhattan",40.75229,-73.96953,"Entire home/apt",155,1,2,2,1,300,0.774827169668916,"Entire home/apt:Manhattan"
"28948","Manhattan",40.73592,-73.98993,"Entire home/apt",295,2,1,1,1,0,0.102062072615966,"Entire home/apt:Manhattan"
"28949","Brooklyn",40.69229,-73.96774,"Entire home/apt",115,2,1,1,1,26,0.692820323027551,"Entire home/apt:Brooklyn"
"28950","Manhattan",40.7449,-73.97888,"Entire home/apt",288,5,2,2,1,74,0.491934955049954,"Entire home/apt:Manhattan"
"28951","Brooklyn",40.71799,-73.95826,"Entire home/apt",188,5,1,1,1,51,0.512652416360247,"Entire home/apt:Brooklyn"
"28952","Manhattan",40.74894,-73.98788,"Entire home/apt",99,1,2,2,1,264,0.707106781186547,"Entire home/apt:Manhattan"
"28953","Brooklyn",40.69209,-73.91882,"Private room",50,7,1,1,1,18,0,"Private room:Brooklyn"
"28954","Queens",40.76595,-73.92656,"Entire home/apt",215,2,2,2,2,153,0.530330085889911,"Entire home/apt:Queens"
"28955","Brooklyn",40.67757,-73.98037,"Entire home/apt",115,3,1,1,1,29,0.566946709513841,"Entire home/apt:Brooklyn"
"28956","Queens",40.58921,-73.79967,"Private room",75,2,3,3,1,79,0,"Private room:Queens"
"28957","Manhattan",40.82024,-73.94362,"Entire home/apt",125,2,1,1,1,266,0.0447213595499958,"Entire home/apt:Manhattan"
"28958","Manhattan",40.77098,-73.9524,"Entire home/apt",115,2,1,1,1,234,0.188982236504614,"Entire home/apt:Manhattan"
"28959","Queens",40.75527,-73.93125,"Entire home/apt",125,2,1,1,1,346,0.346410161513775,"Entire home/apt:Queens"
"28960","Brooklyn",40.69689,-73.92566,"Entire home/apt",189,2,1,1,1,24,0.176776695296637,"Entire home/apt:Brooklyn"
"28961","Manhattan",40.76558,-73.98855,"Entire home/apt",500,1,4,4,2,2,0.408248290463863,"Entire home/apt:Manhattan"
"28962","Manhattan",40.73054,-74.00061,"Entire home/apt",323,1,5,5,1,185,0.204124145231932,"Entire home/apt:Manhattan"
"28963","Brooklyn",40.71325,-73.95874,"Entire home/apt",170,1,1,1,1,77,0.226778683805536,"Entire home/apt:Brooklyn"
"28964","Queens",40.75943,-73.92901,"Entire home/apt",350,2,2,2,1,330,0.300520382004283,"Entire home/apt:Queens"
"28965","Queens",40.68636,-73.78866,"Entire home/apt",129,2,3,3,1,348,0.923760430703401,"Entire home/apt:Queens"
"28966","Queens",40.75041,-73.93761,"Entire home/apt",175,7,1,1,1,17,0.377964473009227,"Entire home/apt:Queens"
"28967","Brooklyn",40.69406,-73.9255,"Entire home/apt",99,1,5,5,1,57,0.510310363079829,"Entire home/apt:Brooklyn"
"28968","Brooklyn",40.73109,-73.95267,"Entire home/apt",130,3,1,1,1,43,0.265165042944955,"Entire home/apt:Brooklyn"
"28969","Manhattan",40.76097,-74.00026,"Entire home/apt",135,1,1,1,1,9,0.661437827766148,"Entire home/apt:Manhattan"
"28970","Brooklyn",40.72845,-73.95791,"Entire home/apt",300,2,1,1,1,24,0.0377964473009227,"Entire home/apt:Brooklyn"
"28971","Manhattan",40.74526,-74.00605,"Entire home/apt",269,1,4,4,1,122,0.8,"Entire home/apt:Manhattan"
"28972","Queens",40.69298,-73.86396,"Private room",50,1,6,6,8,288,0.2,"Private room:Queens"
"28973","Manhattan",40.72936,-73.98298,"Entire home/apt",400,3,2,2,1,336,0,"Entire home/apt:Manhattan"
"28974","Bronx",40.86249,-73.89234,"Private room",39,3,1,1,8,180,0.604743156814764,"Private room:Bronx"
"28975","Bronx",40.86427,-73.89215,"Private room",39,2,1,1,8,175,0.282842712474619,"Private room:Bronx"
"28976","Manhattan",40.76516,-73.98817,"Entire home/apt",350,1,4,4,1,164,0.25,"Entire home/apt:Manhattan"
"28977","Brooklyn",40.68988,-73.95936,"Entire home/apt",282,1,1,1,6,342,0,"Entire home/apt:Brooklyn"
"28978","Manhattan",40.80245,-73.9583,"Private room",110,1,1,1,1,157,0.23094010767585,"Private room:Manhattan"
"28979","Brooklyn",40.71698,-73.95003,"Entire home/apt",299,2,2,2,1,298,0.151185789203691,"Entire home/apt:Brooklyn"
"28980","Manhattan",40.72057,-73.99343,"Entire home/apt",495,3,1,1,1,264,0.795495128834866,"Entire home/apt:Manhattan"
"28981","Manhattan",40.76868,-73.95166,"Entire home/apt",100,1,1,1,1,134,0.268328157299975,"Entire home/apt:Manhattan"
"28982","Brooklyn",40.63294,-74.0273,"Entire home/apt",595,1,4,4,1,57,0.188982236504614,"Entire home/apt:Brooklyn"
"28983","Brooklyn",40.71019,-73.95739,"Private room",70,1,1,1,1,46,0.449073119510249,"Private room:Brooklyn"
"28984","Brooklyn",40.6906,-73.94986,"Private room",45,3,1,1,1,116,0,"Private room:Brooklyn"
"28985","Queens",40.69311,-73.86526,"Private room",50,1,4,4,8,283,0.2,"Private room:Queens"
"28986","Brooklyn",40.6392,-73.96499,"Entire home/apt",75,2,1,1,2,32,0.204124145231932,"Entire home/apt:Brooklyn"
"28987","Manhattan",40.81561,-73.94823,"Private room",99,1,1,1,1,256,0,"Private room:Manhattan"
"28988","Brooklyn",40.63971,-73.94377,"Private room",85,1,1,1,1,167,0.353553390593274,"Private room:Brooklyn"
"28989","Brooklyn",40.70558,-73.9418,"Entire home/apt",89,2,1,1,1,266,0.408248290463863,"Entire home/apt:Brooklyn"
"28990","Manhattan",40.84191,-73.93705,"Private room",50,2,1,1,1,26,0,"Private room:Manhattan"
"28991","Manhattan",40.76212,-73.99771,"Entire home/apt",280,3,2,2,1,341,0.45,"Entire home/apt:Manhattan"
"28992","Manhattan",40.73085,-73.9837,"Entire home/apt",315,5,2,2,1,249,0.212132034355964,"Entire home/apt:Manhattan"
"28993","Brooklyn",40.5908,-73.94693,"Private room",35,2,2,2,1,250,0.0577350269189626,"Private room:Brooklyn"
"28994","Queens",40.71316,-73.81953,"Entire home/apt",85,5,1,1,1,54,0.623538290724796,"Entire home/apt:Queens"
"28995","Bronx",40.91234,-73.89417,"Private room",40,1,1,1,3,179,0.25,"Private room:Bronx"
"28996","Manhattan",40.74865,-73.98158,"Entire home/apt",299,3,1,1,1,187,0.774827169668916,"Entire home/apt:Manhattan"
"28997","Manhattan",40.80321,-73.93781,"Private room",80,3,1,1,3,213,0.375,"Private room:Manhattan"
"28998","Brooklyn",40.71655,-73.96416,"Shared room",115,3,1,1,2,66,0.447213595499958,"Shared room:Brooklyn"
"28999","Brooklyn",40.69627,-73.92705,"Private room",49,1,1,1,6,7,0,"Private room:Brooklyn"
"29000","Brooklyn",40.69266,-73.92684,"Private room",99,3,3,3,2,17,0.244948974278318,"Private room:Brooklyn"
"29001","Brooklyn",40.71199,-73.96479,"Entire home/apt",220,4,1,1,1,25,0.333333333333333,"Entire home/apt:Brooklyn"
"29002","Manhattan",40.7789,-73.95554,"Entire home/apt",199,4,1,1,1,314,0.434659143960611,"Entire home/apt:Manhattan"
"29003","Manhattan",40.79965,-73.95157,"Entire home/apt",300,3,2,2,1,349,0.434659143960611,"Entire home/apt:Manhattan"
"29004","Brooklyn",40.71982,-73.94742,"Entire home/apt",260,2,1,1,1,245,-0.166666666666667,"Entire home/apt:Brooklyn"
"29005","Queens",40.7032,-73.89571,"Entire home/apt",220,4,2,2,2,146,0.204124145231932,"Entire home/apt:Queens"
