"","neighbourhood_group","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","reviews_per_month","calculated_host_listings_count","availability_365","sentiment_score","new_factor"
"1","Brooklyn",40.64749,-73.97237,"Private room",149,1,9,0.21,6,365,0.566946709513841,"Private room:Brooklyn"
"2","Brooklyn",40.68514,-73.95976,"Entire home/apt",89,1,270,4.64,1,194,0.447213595499958,"Entire home/apt:Brooklyn"
"3","Manhattan",40.79851,-73.94399,"Entire home/apt",80,10,9,0.1,1,0,0.353553390593274,"Entire home/apt:Manhattan"
"4","Manhattan",40.74767,-73.975,"Entire home/apt",200,3,74,0.59,1,129,0.377964473009227,"Entire home/apt:Manhattan"
"5","Brooklyn",40.68688,-73.95596,"Private room",60,45,49,0.4,1,0,0,"Private room:Brooklyn"
"6","Manhattan",40.76489,-73.98493,"Private room",79,2,430,3.47,1,220,0,"Private room:Manhattan"
"7","Manhattan",40.80178,-73.96723,"Private room",79,2,118,0.99,1,0,0.918558653543692,"Private room:Manhattan"
"8","Manhattan",40.71344,-73.99037,"Entire home/apt",150,1,160,1.33,4,188,0.71443450831176,"Entire home/apt:Manhattan"
"9","Manhattan",40.80316,-73.96545,"Entire home/apt",135,5,53,0.43,1,6,0.306186217847897,"Entire home/apt:Manhattan"
"10","Manhattan",40.76076,-73.98867,"Private room",85,2,188,1.5,1,39,0,"Private room:Manhattan"
"11","Brooklyn",40.66829,-73.98779,"Private room",89,4,167,1.34,3,314,0.793725393319377,"Private room:Brooklyn"
"12","Manhattan",40.79826,-73.96113,"Private room",85,2,113,0.91,1,333,0.28347335475692,"Private room:Manhattan"
"13","Manhattan",40.7353,-74.00525,"Entire home/apt",120,90,27,0.22,1,0,0,"Entire home/apt:Manhattan"
"14","Brooklyn",40.70837,-73.95352,"Entire home/apt",140,2,148,1.2,1,46,-0.0357770876399966,"Entire home/apt:Brooklyn"
"15","Brooklyn",40.69169,-73.97185,"Entire home/apt",215,2,198,1.72,1,321,0.603738353924943,"Entire home/apt:Brooklyn"
"16","Brooklyn",40.67592,-73.94694,"Entire home/apt",99,3,53,4.44,1,21,0.163299316185545,"Entire home/apt:Brooklyn"
"17","Brooklyn",40.71842,-73.95718,"Entire home/apt",299,3,9,0.07,1,0,0.559016994374947,"Entire home/apt:Brooklyn"
"18","Brooklyn",40.67989,-73.97798,"Private room",80,1,39,0.37,6,364,0.4,"Private room:Brooklyn"
"19","Brooklyn",40.68371,-73.94028,"Entire home/apt",120,2,88,0.73,2,233,0,"Entire home/apt:Brooklyn"
"20","Manhattan",40.76715,-73.98533,"Entire home/apt",150,10,58,0.49,1,75,0,"Entire home/apt:Manhattan"
"21","Manhattan",40.86482,-73.92106,"Private room",44,3,108,1.11,3,311,0.559016994374947,"Private room:Manhattan"
"22","Manhattan",40.7292,-73.98542,"Entire home/apt",180,14,29,0.24,1,67,0.268328157299975,"Entire home/apt:Manhattan"
"23","Manhattan",40.82245,-73.95104,"Private room",50,3,242,2.04,3,355,0,"Private room:Manhattan"
"24","Manhattan",40.81305,-73.95466,"Private room",52,2,88,1.42,1,255,0.268328157299975,"Private room:Manhattan"
"25","Brooklyn",40.72219,-73.93762,"Private room",55,4,197,1.65,3,284,0,"Private room:Brooklyn"
"26","Manhattan",40.8213,-73.95318,"Private room",50,3,273,2.37,3,359,-0.125,"Private room:Manhattan"
"27","Brooklyn",40.6831,-73.95473,"Private room",70,1,74,0.66,2,269,0,"Private room:Brooklyn"
"28","Brooklyn",40.66869,-73.9878,"Private room",89,4,168,1.41,3,340,0.793725393319377,"Private room:Brooklyn"
"29","Manhattan",40.71401,-73.98917,"Shared room",40,1,214,1.81,4,188,0.5,"Shared room:Manhattan"
"30","Brooklyn",40.66278,-73.97966,"Entire home/apt",120,3,15,0.39,1,345,0.603738353924943,"Entire home/apt:Brooklyn"
"31","Brooklyn",40.69673,-73.97584,"Private room",120,7,25,0.23,1,311,0.344337567297406,"Private room:Brooklyn"
"32","Manhattan",40.79009,-73.97927,"Private room",135,4,81,0.69,1,273,-0.433012701892219,"Private room:Manhattan"
"33","Manhattan",40.81175,-73.94478,"Entire home/apt",150,7,97,0.84,1,309,0.25,"Entire home/apt:Manhattan"
"34","Brooklyn",40.65944,-73.96238,"Entire home/apt",150,29,11,0.49,1,95,0,"Entire home/apt:Brooklyn"
"35","Brooklyn",40.68111,-73.95591,"Entire home/apt",110,7,61,0.52,1,265,0.5,"Entire home/apt:Brooklyn"
"36","Brooklyn",40.68554,-73.9409,"Entire home/apt",115,3,11,0.1,1,0,0.65,"Entire home/apt:Brooklyn"
"37","Brooklyn",40.69142,-73.97376,"Private room",80,3,135,1.16,2,192,0,"Private room:Brooklyn"
"38","Brooklyn",40.68043,-73.93934,"Private room",80,1,112,1.01,3,251,0,"Private room:Brooklyn"
"39","Manhattan",40.78635,-73.97008,"Entire home/apt",151,2,73,0.63,1,302,0.569209978830308,"Entire home/apt:Manhattan"
"40","Brooklyn",40.7042,-73.9356,"Entire home/apt",228,3,82,0.7,1,140,0,"Entire home/apt:Brooklyn"
"41","Brooklyn",40.73506,-73.95392,"Entire home/apt",144,2,328,2.82,1,234,0,"Entire home/apt:Brooklyn"
"42","Manhattan",40.73961,-73.98074,"Entire home/apt",200,7,19,0.22,1,257,0.375,"Entire home/apt:Manhattan"
"43","Brooklyn",40.70881,-73.9593,"Entire home/apt",150,30,105,0.9,1,30,0,"Entire home/apt:Brooklyn"
"44","Manhattan",40.75531,-73.99293,"Private room",69,2,289,2.49,2,294,0.25,"Private room:Manhattan"
"45","Manhattan",40.7221,-73.99775,"Entire home/apt",180,30,21,0.3,1,154,0.377964473009227,"Entire home/apt:Manhattan"
"46","Brooklyn",40.71185,-73.96204,"Private room",80,2,42,0.38,1,263,0.9,"Private room:Brooklyn"
"47","Manhattan",40.74623,-73.9953,"Entire home/apt",375,180,5,0.12,1,180,0.55,"Entire home/apt:Manhattan"
"48","Manhattan",40.77065,-73.95269,"Entire home/apt",250,2,66,0.57,2,231,0.188982236504614,"Entire home/apt:Manhattan"
"49","Brooklyn",40.67811,-73.96428,"Entire home/apt",200,30,143,1.33,2,297,0.408248290463863,"Entire home/apt:Brooklyn"
"50","Brooklyn",40.69,-73.96788,"Private room",55,7,27,0.23,2,292,0.166666666666667,"Private room:Brooklyn"
"51","Manhattan",40.72649,-73.97904,"Private room",80,1,338,4.72,2,72,0.489897948556636,"Private room:Manhattan"
"52","Manhattan",40.80164,-73.93922,"Entire home/apt",225,4,190,1.64,1,215,0.402492235949962,"Entire home/apt:Manhattan"
"53","Manhattan",40.72162,-73.98008,"Entire home/apt",230,9,49,0.43,1,116,0.375,"Entire home/apt:Manhattan"
"54","Manhattan",40.76342,-73.98865,"Private room",51,7,23,0.43,1,88,0.335410196624968,"Private room:Manhattan"
"55","Manhattan",40.83139,-73.94095,"Private room",65,2,49,1.6,2,336,0.804984471899924,"Private room:Manhattan"
"56","Brooklyn",40.68346,-73.96374,"Private room",105,2,105,0.92,1,304,0,"Private room:Brooklyn"
"57","Manhattan",40.72828,-73.98801,"Entire home/apt",190,5,21,0.2,1,224,0.408248290463863,"Entire home/apt:Manhattan"
"58","Manhattan",40.76865,-73.95058,"Private room",200,1,142,1.5,1,322,0,"Private room:Manhattan"
"59","Queens",40.75038,-73.90334,"Private room",70,30,25,0.22,1,324,0.01,"Private room:Queens"
"60","Brooklyn",40.6932,-73.97267,"Private room",95,3,143,1.28,1,132,-0.306186217847897,"Private room:Brooklyn"
"61","Manhattan",40.71851,-73.98892,"Entire home/apt",285,5,70,0.62,1,328,0.3,"Entire home/apt:Manhattan"
"62","Brooklyn",40.65401,-73.96323,"Entire home/apt",130,6,16,0.15,1,38,1.11803398874989,"Entire home/apt:Brooklyn"
"63","Manhattan",40.7114,-73.98794,"Private room",94,30,94,0.84,1,188,0.265165042944955,"Private room:Manhattan"
"64","Brooklyn",40.71833,-73.95748,"Entire home/apt",105,3,61,0.53,1,272,0.0408248290463863,"Entire home/apt:Brooklyn"
"65","Manhattan",40.72912,-73.98057,"Private room",50,1,2,0.05,1,0,0.25,"Private room:Manhattan"
"66","Brooklyn",40.71156,-73.96218,"Private room",85,3,174,1.54,4,288,0.447213595499958,"Private room:Brooklyn"
"67","Brooklyn",40.68233,-73.97261,"Entire home/apt",131,4,166,3.4,1,207,0.55,"Entire home/apt:Brooklyn"
"68","Brooklyn",40.68634,-73.966,"Private room",98,7,16,0.2,6,185,-0.0530330085889911,"Private room:Brooklyn"
"69","Brooklyn",40.68035,-73.97162,"Entire home/apt",250,7,21,0.3,1,158,0.3,"Entire home/apt:Brooklyn"
"70","Brooklyn",40.70984,-73.95775,"Entire home/apt",100,5,168,1.57,1,0,0.447213595499958,"Entire home/apt:Brooklyn"
"71","Brooklyn",40.70093,-73.92609,"Entire home/apt",105,3,118,1.05,2,9,0.536656314599949,"Entire home/apt:Brooklyn"
"72","Manhattan",40.79764,-73.96177,"Entire home/apt",140,3,81,0.71,1,198,0.223606797749979,"Entire home/apt:Manhattan"
"73","Manhattan",40.82803,-73.94731,"Private room",89,1,1,0.11,1,365,0.4,"Private room:Manhattan"
"74","Manhattan",40.74008,-74.00271,"Private room",98,30,30,0.27,2,364,0.625,"Private room:Manhattan"
"75","Manhattan",40.82279,-73.95139,"Private room",60,3,11,0.87,3,219,0,"Private room:Manhattan"
"76","Brooklyn",40.67967,-74.00154,"Entire home/apt",175,2,233,2.09,3,342,0,"Entire home/apt:Brooklyn"
"77","Manhattan",40.83927,-73.94281,"Private room",65,2,68,0.6,1,312,-0.433012701892219,"Private room:Manhattan"
"78","Manhattan",40.73096,-74.00319,"Entire home/apt",500,4,46,0.55,2,243,0.151185789203691,"Entire home/apt:Manhattan"
"79","Brooklyn",40.71332,-73.94177,"Private room",101,3,335,3.02,1,152,0.151185789203691,"Private room:Brooklyn"
"80","Brooklyn",40.66941,-73.98109,"Entire home/apt",220,30,88,0.79,1,9,0.433012701892219,"Entire home/apt:Brooklyn"
"81","Brooklyn",40.68373,-73.92377,"Entire home/apt",125,90,162,1.46,2,137,0.223606797749979,"Entire home/apt:Brooklyn"
"82","Brooklyn",40.71459,-73.94844,"Entire home/apt",80,30,29,0.4,1,222,0.491934955049954,"Entire home/apt:Brooklyn"
"83","Manhattan",40.8092,-73.94421,"Private room",100,2,170,1.61,1,346,0.268328157299975,"Private room:Manhattan"
"84","Brooklyn",40.68698,-73.96572,"Private room",125,2,19,0.2,6,250,0.321269802057843,"Private room:Brooklyn"
"85","Manhattan",40.7288,-73.98192,"Entire home/apt",140,7,12,0.13,1,164,0.375,"Entire home/apt:Manhattan"
"86","Brooklyn",40.71942,-73.95748,"Entire home/apt",325,3,324,3.01,1,107,0,"Entire home/apt:Brooklyn"
"87","Manhattan",40.77823,-73.97637,"Entire home/apt",235,6,27,0.27,1,199,0.510310363079829,"Entire home/apt:Manhattan"
"88","Manhattan",40.72555,-73.97965,"Entire home/apt",225,1,115,1.05,4,299,0.377964473009227,"Entire home/apt:Manhattan"
"89","Brooklyn",40.66831,-73.98604,"Private room",99,2,354,3.2,3,20,0,"Private room:Brooklyn"
"90","Manhattan",40.77842,-73.97556,"Entire home/apt",170,7,13,0.12,1,224,0,"Entire home/apt:Manhattan"
"91","Brooklyn",40.65593,-73.96053,"Private room",75,2,9,0.08,1,324,0.188982236504614,"Private room:Brooklyn"
"92","Brooklyn",40.71923,-73.96468,"Private room",90,1,9,0.08,1,245,0.84970583144992,"Private room:Brooklyn"
"93","Manhattan",40.778,-73.94822,"Entire home/apt",150,5,21,0.19,1,189,0.226778683805536,"Entire home/apt:Manhattan"
"94","Brooklyn",40.68332,-73.9547,"Private room",70,3,63,0.58,2,310,0,"Private room:Brooklyn"
"95","Manhattan",40.81618,-73.94894,"Entire home/apt",120,3,155,1.42,3,213,0.176776695296637,"Entire home/apt:Manhattan"
"96","Brooklyn",40.68414,-73.96351,"Private room",89,3,260,2.35,1,278,0.626099033699941,"Private room:Brooklyn"
"97","Manhattan",40.76754,-73.98399,"Private room",130,2,50,0.45,3,234,0,"Private room:Manhattan"
"98","Manhattan",40.73442,-74.00303,"Entire home/apt",115,29,26,0.25,1,12,0.559016994374947,"Entire home/apt:Manhattan"
"99","Brooklyn",40.63188,-73.93248,"Private room",77,2,2,0.02,1,178,0.5,"Private room:Brooklyn"
"100","Brooklyn",40.6873,-73.9634,"Private room",76,2,426,3.89,3,275,0,"Private room:Brooklyn"
"101","Brooklyn",40.68296,-73.93662,"Entire home/apt",125,3,227,2.09,2,163,0,"Entire home/apt:Brooklyn"
"102","Brooklyn",40.6863,-73.96765,"Private room",135,4,84,0.77,3,365,0,"Private room:Brooklyn"
"103","Brooklyn",40.73409,-73.95348,"Entire home/apt",250,29,3,0.03,1,34,0.55,"Entire home/apt:Brooklyn"
"104","Brooklyn",40.6857,-73.99183,"Entire home/apt",140,2,4,0.04,1,0,0.3,"Entire home/apt:Brooklyn"
"105","Queens",40.74028,-73.83168,"Private room",140,2,1,0.01,1,1,0.2,"Private room:Queens"
"106","Brooklyn",40.68281,-73.93524,"Entire home/apt",115,3,124,1.72,2,170,0.346410161513775,"Entire home/apt:Brooklyn"
"107","Brooklyn",40.71492,-73.95935,"Entire home/apt",195,4,240,2.19,1,214,-0.433012701892219,"Entire home/apt:Brooklyn"
"108","Manhattan",40.72354,-73.98295,"Entire home/apt",195,3,30,0.28,1,248,0,"Entire home/apt:Manhattan"
"109","Brooklyn",40.71165,-73.96087,"Private room",80,3,200,1.86,4,262,0.447213595499958,"Private room:Brooklyn"
"110","Brooklyn",40.69101,-73.97312,"Private room",44,8,27,1.05,5,280,0.226778683805536,"Private room:Brooklyn"
"111","Brooklyn",40.67386,-73.96641,"Private room",85,15,9,0.09,1,339,0.408248290463863,"Private room:Brooklyn"
"112","Brooklyn",40.71536,-73.96057,"Private room",125,3,155,1.61,1,1,0.55,"Private room:Brooklyn"
"113","Brooklyn",40.6741,-73.96595,"Entire home/apt",115,15,4,0.05,1,269,0.903553390593274,"Entire home/apt:Brooklyn"
"114","Manhattan",40.79295,-73.93997,"Private room",69,2,34,0.32,1,10,0.8,"Private room:Manhattan"
"115","Manhattan",40.73226,-74.00401,"Entire home/apt",225,45,134,1.24,1,312,0.603738353924943,"Entire home/apt:Manhattan"
"116","Brooklyn",40.68559,-73.98094,"Entire home/apt",475,3,23,0.27,1,230,0.223606797749979,"Entire home/apt:Brooklyn"
"117","Manhattan",40.77456,-73.95323,"Entire home/apt",99,1,234,2.6,2,164,0,"Entire home/apt:Manhattan"
"118","Brooklyn",40.71088,-73.95055,"Private room",69,4,202,1.86,2,53,0.447213595499958,"Private room:Brooklyn"
"119","Queens",40.74559,-73.92313,"Private room",79,30,28,0.26,1,126,0,"Private room:Queens"
"120","Brooklyn",40.66858,-73.99083,"Entire home/apt",250,2,80,2.17,1,0,0.41576092031015,"Entire home/apt:Brooklyn"
"121","Manhattan",40.82704,-73.94907,"Entire home/apt",80,3,2,0.04,1,0,0.804984471899924,"Entire home/apt:Manhattan"
"122","Brooklyn",40.68843,-73.96408,"Private room",70,2,294,3.47,3,336,0,"Private room:Brooklyn"
"123","Brooklyn",40.6783,-74.00135,"Entire home/apt",165,2,150,1.4,3,342,0,"Entire home/apt:Brooklyn"
"124","Staten Island",40.64524,-74.08088,"Private room",70,2,166,1.66,1,312,0.32659863237109,"Private room:Staten Island"
"125","Brooklyn",40.70641,-73.91765,"Private room",50,2,47,0.94,1,37,0.653197264742181,"Private room:Brooklyn"
"126","Bronx",40.83232,-73.93184,"Private room",40,1,219,2.04,3,353,0,"Private room:Bronx"
"127","Brooklyn",40.71045,-73.9677,"Entire home/apt",150,2,193,1.78,1,177,0.244948974278318,"Entire home/apt:Brooklyn"
"128","Manhattan",40.72518,-73.98034,"Private room",125,1,84,0.78,4,310,0,"Private room:Manhattan"
"129","Manhattan",40.70666,-74.01374,"Entire home/apt",196,3,114,1.06,1,0,0.25,"Entire home/apt:Manhattan"
"130","Brooklyn",40.69098,-73.97113,"Private room",110,2,213,2,2,321,0,"Private room:Brooklyn"
"131","Manhattan",40.73756,-74.00405,"Entire home/apt",170,3,86,0.8,1,246,0.306186217847897,"Entire home/apt:Manhattan"
"132","Manhattan",40.73423,-74.0046,"Entire home/apt",150,26,38,0.36,1,225,0.4,"Entire home/apt:Manhattan"
"133","Manhattan",40.82374,-73.9373,"Entire home/apt",100,2,18,1.79,1,0,0.782623792124926,"Entire home/apt:Manhattan"
"134","Brooklyn",40.68863,-73.97691,"Private room",65,2,206,1.92,2,0,0.111803398874989,"Private room:Brooklyn"
"135","Queens",40.70382,-73.89797,"Entire home/apt",350,8,10,0.11,5,365,0.433012701892219,"Entire home/apt:Queens"
"136","Manhattan",40.80549,-73.95924,"Private room",99,4,122,1.18,2,233,0,"Private room:Manhattan"
"137","Brooklyn",40.71627,-73.9587,"Entire home/apt",200,4,33,0.58,1,1,0.75,"Entire home/apt:Brooklyn"
"138","Brooklyn",40.67994,-73.97863,"Entire home/apt",150,5,52,0.5,1,18,0.163299316185545,"Entire home/apt:Brooklyn"
"139","Brooklyn",40.67992,-73.9475,"Private room",90,3,126,1.17,4,343,0.75,"Private room:Brooklyn"
"140","Brooklyn",40.67868,-73.97307,"Private room",120,3,51,0.48,3,250,0,"Private room:Brooklyn"
"141","Manhattan",40.76834,-73.95334,"Private room",75,3,199,1.85,1,326,0.282842712474619,"Private room:Manhattan"
"142","Brooklyn",40.68237,-73.9415,"Entire home/apt",175,26,30,0.29,1,364,0.447213595499958,"Entire home/apt:Brooklyn"
"143","Manhattan",40.74031,-73.99999,"Entire home/apt",125,3,3,0.03,1,0,0,"Entire home/apt:Manhattan"
"144","Manhattan",40.76307,-73.99665,"Entire home/apt",275,1,41,0.38,1,299,0.529150262212918,"Entire home/apt:Manhattan"
"145","Brooklyn",40.6693,-73.98804,"Entire home/apt",135,5,151,1.43,3,162,0.982707629823991,"Entire home/apt:Brooklyn"
"146","Manhattan",40.74859,-73.99671,"Private room",123,1,375,3.52,1,328,0.05,"Private room:Manhattan"
"147","Queens",40.67252,-73.76597,"Private room",55,2,52,0.49,2,365,0.5,"Private room:Queens"
"148","Manhattan",40.76244,-73.99271,"Entire home/apt",195,5,10,1.01,1,0,0.603738353924943,"Entire home/apt:Manhattan"
"149","Queens",40.71722,-73.87856,"Entire home/apt",98,30,33,0.31,5,240,0.447213595499958,"Entire home/apt:Queens"
"150","Queens",40.71546,-73.87854,"Entire home/apt",265,7,38,0.38,5,365,0.288675134594813,"Entire home/apt:Queens"
"151","Manhattan",40.76548,-73.98474,"Shared room",105,6,10,0.09,1,363,0,"Shared room:Manhattan"
"152","Brooklyn",40.6787,-73.97262,"Private room",100,2,226,2.12,3,250,0.150755672288882,"Private room:Brooklyn"
"153","Manhattan",40.81035,-73.94598,"Entire home/apt",121,1,104,1,5,247,0.223606797749979,"Entire home/apt:Manhattan"
"154","Bronx",40.83075,-73.93058,"Private room",45,1,138,1.45,3,323,0.447213595499958,"Private room:Bronx"
"155","Manhattan",40.79958,-73.94275,"Private room",100,5,204,1.92,1,192,0.188982236504614,"Private room:Manhattan"
"156","Brooklyn",40.71625,-73.93845,"Entire home/apt",140,2,253,3.04,1,125,1.20747670784989,"Entire home/apt:Brooklyn"
"157","Brooklyn",40.6829,-73.93549,"Private room",71,2,23,0.22,1,91,0.8315218406203,"Private room:Brooklyn"
"158","Manhattan",40.72773,-73.99134,"Private room",130,2,115,1.17,1,75,0.178885438199983,"Private room:Manhattan"
"159","Manhattan",40.72861,-74.0049,"Entire home/apt",199,5,129,1.22,1,286,0.75,"Entire home/apt:Manhattan"
"160","Brooklyn",40.70979,-73.95162,"Private room",69,4,82,1.13,2,60,0.408248290463863,"Private room:Brooklyn"
"161","Brooklyn",40.68656,-73.97525,"Private room",68,3,37,0.35,1,0,0.793725393319377,"Private room:Brooklyn"
"162","Manhattan",40.72752,-73.98432,"Entire home/apt",130,1,204,2.04,1,192,0.447213595499958,"Entire home/apt:Manhattan"
"163","Brooklyn",40.729,-73.95829,"Entire home/apt",195,2,69,0.65,1,58,0,"Entire home/apt:Brooklyn"
"164","Manhattan",40.81219,-73.94499,"Private room",64,1,192,1.84,5,245,0.447213595499958,"Private room:Manhattan"
"165","Queens",40.77185,-73.90502,"Entire home/apt",140,2,17,0.16,1,292,0.577350269189626,"Entire home/apt:Queens"
"166","Manhattan",40.72821,-73.98701,"Entire home/apt",189,3,205,1.96,1,0,0.268328157299975,"Entire home/apt:Manhattan"
"167","Manhattan",40.7672,-73.98508,"Entire home/apt",250,3,94,0.96,1,3,0.734846922834954,"Entire home/apt:Manhattan"
"168","Manhattan",40.73012,-73.99053,"Entire home/apt",239,3,7,0.07,1,351,0.102062072615966,"Entire home/apt:Manhattan"
"169","Manhattan",40.7403,-73.98498,"Entire home/apt",305,2,108,1.09,1,201,0.4,"Entire home/apt:Manhattan"
"170","Manhattan",40.80931,-73.94343,"Entire home/apt",155,3,222,2.1,2,232,0.408248290463863,"Entire home/apt:Manhattan"
"171","Brooklyn",40.6585,-73.98397,"Private room",135,2,21,0.26,1,272,0,"Private room:Brooklyn"
"172","Manhattan",40.76193,-73.9501,"Private room",120,7,17,0.3,1,341,0,"Private room:Manhattan"
"173","Manhattan",40.72052,-73.98589,"Entire home/apt",150,3,41,0.39,1,244,1.00623058987491,"Entire home/apt:Manhattan"
"174","Queens",40.70411,-73.89934,"Entire home/apt",140,14,1,0.01,5,365,1.25219806739988,"Entire home/apt:Queens"
"175","Brooklyn",40.73401,-73.95967,"Entire home/apt",135,2,69,0.67,1,12,0.0377964473009227,"Entire home/apt:Brooklyn"
"176","Manhattan",40.71756,-73.99503,"Entire home/apt",250,4,18,0.18,2,265,0.857321409974112,"Entire home/apt:Manhattan"
"177","Manhattan",40.7589,-73.96991,"Entire home/apt",250,30,82,0.78,1,0,0.288675134594813,"Entire home/apt:Manhattan"
"178","Manhattan",40.72003,-74.00262,"Entire home/apt",500,4,94,0.99,1,329,0.782623792124926,"Entire home/apt:Manhattan"
"179","Manhattan",40.73194,-73.99474,"Entire home/apt",225,5,10,0.1,1,91,0.5,"Entire home/apt:Manhattan"
"180","Manhattan",40.79163,-73.94573,"Entire home/apt",125,28,183,1.83,2,365,0,"Entire home/apt:Manhattan"
"181","Manhattan",40.8118,-73.94434,"Private room",92,1,189,1.82,5,253,0.223606797749979,"Private room:Manhattan"
"182","Manhattan",40.81583,-73.94707,"Private room",175,2,1,0.11,1,365,0.514295634824952,"Private room:Manhattan"
"183","Manhattan",40.71961,-73.9954,"Entire home/apt",135,2,21,0.2,1,0,0.491934955049954,"Entire home/apt:Manhattan"
"184","Manhattan",40.74358,-74.00027,"Entire home/apt",500,2,35,0.34,1,348,0,"Entire home/apt:Manhattan"
"185","Manhattan",40.80335,-73.9575,"Private room",80,14,10,2.21,2,0,0.447213595499958,"Private room:Manhattan"
"186","Manhattan",40.75749,-73.96897,"Entire home/apt",110,200,92,0.9,1,140,0.612372435695795,"Entire home/apt:Manhattan"
"187","Brooklyn",40.64446,-73.9503,"Entire home/apt",65,3,238,2.3,1,2,0.306186217847897,"Entire home/apt:Brooklyn"
"188","Brooklyn",40.688,-73.9171,"Entire home/apt",99,3,111,2.13,1,68,0.288675134594813,"Entire home/apt:Brooklyn"
"189","Staten Island",40.63536,-74.08537,"Private room",36,2,193,1.85,6,360,0.565685424949238,"Private room:Staten Island"
"190","Staten Island",40.63518,-74.08546,"Private room",37,2,177,1.71,6,320,0,"Private room:Staten Island"
"191","Manhattan",40.72477,-73.98161,"Entire home/apt",175,3,185,1.78,2,326,0,"Entire home/apt:Manhattan"
"192","Manhattan",40.74238,-73.99567,"Entire home/apt",205,9,62,0.7,2,76,0.47729707730092,"Entire home/apt:Manhattan"
"193","Brooklyn",40.72945,-73.95511,"Entire home/apt",285,3,124,1.22,3,279,0.433012701892219,"Entire home/apt:Brooklyn"
"194","Staten Island",40.63481,-74.08519,"Private room",36,2,333,3.19,6,340,0,"Private room:Staten Island"
"195","Queens",40.75384,-73.91433,"Entire home/apt",99,5,441,4.5,1,226,0.5,"Entire home/apt:Queens"
"196","Brooklyn",40.64106,-73.97426,"Private room",39,1,45,0.46,2,365,0.447213595499958,"Private room:Brooklyn"
"197","Brooklyn",40.66793,-73.98327,"Private room",60,14,9,0.09,2,0,0.357770876399966,"Private room:Brooklyn"
"198","Bronx",40.88057,-73.83572,"Entire home/apt",105,2,38,0.5,13,365,0.396862696659689,"Entire home/apt:Bronx"
"199","Brooklyn",40.68236,-73.94314,"Entire home/apt",135,2,248,2.39,2,11,0.7,"Entire home/apt:Brooklyn"
"200","Manhattan",40.72185,-73.98246,"Entire home/apt",390,5,143,1.38,2,316,0,"Entire home/apt:Manhattan"
"201","Brooklyn",40.68503,-73.95385,"Private room",70,3,36,0.41,4,281,0,"Private room:Brooklyn"
"202","Brooklyn",40.7069,-73.95467,"Private room",60,17,14,0.14,4,362,0,"Private room:Brooklyn"
"203","Brooklyn",40.6778,-73.94339,"Private room",100,3,279,2.69,1,301,0,"Private room:Brooklyn"
"204","Brooklyn",40.68317,-73.94701,"Private room",70,4,18,0.22,4,189,0,"Private room:Brooklyn"
"205","Brooklyn",40.6761,-73.9529,"Private room",110,6,50,3.55,1,0,1.16350762782201,"Private room:Brooklyn"
"206","Manhattan",40.71702,-73.99811,"Entire home/apt",90,14,1,0.16,1,14,0.366666666666667,"Entire home/apt:Manhattan"
"207","Manhattan",40.72956,-73.98158,"Entire home/apt",129,7,5,0.15,1,231,0.447213595499958,"Entire home/apt:Manhattan"
"208","Brooklyn",40.70863,-73.94641,"Entire home/apt",95,4,132,1.27,1,46,0.5,"Entire home/apt:Brooklyn"
"209","Brooklyn",40.67319,-73.97323,"Entire home/apt",175,2,11,0.11,1,246,0.559016994374947,"Entire home/apt:Brooklyn"
"210","Brooklyn",40.67846,-73.99443,"Entire home/apt",190,3,51,0.57,1,288,0.75,"Entire home/apt:Brooklyn"
"211","Brooklyn",40.6715,-73.94808,"Private room",49,21,15,0.15,5,331,0,"Private room:Brooklyn"
"212","Manhattan",40.72681,-73.98534,"Entire home/apt",212,3,67,1.31,1,51,0,"Entire home/apt:Manhattan"
"213","Manhattan",40.71904,-73.99392,"Private room",95,1,109,1.11,3,364,0.111803398874989,"Private room:Manhattan"
"214","Brooklyn",40.71031,-73.9583,"Entire home/apt",140,2,9,0.11,1,254,0.721687836487032,"Entire home/apt:Brooklyn"
"215","Manhattan",40.81322,-73.95306,"Entire home/apt",135,6,187,1.87,1,189,0.204124145231932,"Entire home/apt:Manhattan"
"216","Brooklyn",40.67732,-73.98225,"Entire home/apt",150,2,214,2.08,2,263,0.857321409974112,"Entire home/apt:Brooklyn"
"217","Manhattan",40.79603,-73.94903,"Entire home/apt",124,28,22,0.26,1,103,0.268328157299975,"Entire home/apt:Manhattan"
"218","Manhattan",40.80393,-73.95838,"Private room",122,3,93,0.93,1,246,0.306186217847897,"Private room:Manhattan"
"219","Manhattan",40.80082,-73.9652,"Private room",109,1,104,1.05,2,364,0.408248290463863,"Private room:Manhattan"
"220","Manhattan",40.82976,-73.94867,"Private room",85,30,64,0.68,1,318,0.447213595499958,"Private room:Manhattan"
"221","Brooklyn",40.683,-73.91981,"Entire home/apt",145,3,127,1.25,2,72,0.447213595499958,"Entire home/apt:Brooklyn"
"222","Manhattan",40.78971,-73.9729,"Entire home/apt",195,11,30,0.32,1,249,0,"Entire home/apt:Manhattan"
"223","Brooklyn",40.67817,-73.99495,"Entire home/apt",250,2,106,1.34,3,272,0.212132034355964,"Entire home/apt:Brooklyn"
"224","Brooklyn",40.73119,-73.95578,"Private room",125,3,6,0.1,1,325,0.721687836487032,"Private room:Brooklyn"
